mnth               ip           leading index
5212.000000000   31.300000000   44.500000000 
5301.000000000   31.400000000   44.800000000 
5302.000000000   31.600000000   44.900000000 
5303.000000000   31.800000000   44.800000000 
5304.000000000   32.000000000   44.700000000 
5305.000000000   32.200000000   44.400000000 
5306.000000000   32.000000000   43.800000000 
5307.000000000   32.400000000   43.700000000 
5308.000000000   32.200000000   42.700000000 
5309.000000000   31.600000000   41.800000000 
5310.000000000   31.300000000   41.700000000 
5311.000000000   30.600000000   41.300000000 
5312.000000000   29.800000000   41.400000000 
5401.000000000   29.600000000   41.400000000 
5402.000000000   29.700000000   41.800000000 
5403.000000000   29.500000000   42.000000000 
5404.000000000   29.300000000   42.400000000 
5405.000000000   29.500000000   43.000000000 
5406.000000000   29.600000000   43.600000000 
5407.000000000   29.600000000   44.100000000 
5408.000000000   29.600000000   44.300000000 
5409.000000000   29.600000000   44.900000000 
5410.000000000   30.000000000   45.800000000 
5411.000000000   30.500000000   46.700000000 
5412.000000000   30.900000000   47.400000000 
5501.000000000   31.600000000   48.200000000 
5502.000000000   32.000000000   49.100000000 
5503.000000000   32.700000000   49.700000000 
5504.000000000   33.100000000   49.900000000 
5505.000000000   33.700000000   50.200000000 
5506.000000000   33.700000000   50.300000000 
5507.000000000   34.000000000   50.800000000 
5508.000000000   33.900000000   50.600000000 
5509.000000000   34.100000000   51.000000000 
5510.000000000   34.700000000   50.900000000 
5511.000000000   34.800000000   51.200000000 
5512.000000000   34.900000000   51.300000000 
5601.000000000   35.100000000   51.100000000 
5602.000000000   34.800000000   50.700000000 
5603.000000000   34.800000000   50.900000000 
5604.000000000   35.100000000   51.000000000 
5605.000000000   34.800000000   50.200000000 
5606.000000000   34.500000000   49.900000000 
5607.000000000   33.400000000   50.300000000 
5608.000000000   34.800000000   50.400000000 
5609.000000000   35.600000000   50.200000000 
5610.000000000   35.900000000   50.400000000 
5611.000000000   35.600000000   50.600000000 
5612.000000000   36.100000000   50.400000000 
5701.000000000   36.000000000   50.000000000 
5702.000000000   36.300000000   49.800000000 
5703.000000000   36.300000000   49.500000000 
5704.000000000   35.800000000   49.100000000 
5705.000000000   35.700000000   49.100000000 
5706.000000000   35.800000000   49.000000000 
5707.000000000   36.000000000   48.700000000 
5708.000000000   36.000000000   48.600000000 
5709.000000000   35.700000000   47.900000000 
5710.000000000   35.100000000   47.500000000 
5711.000000000   34.300000000   47.000000000 
5712.000000000   33.700000000   46.600000000 
5801.000000000   33.000000000   46.500000000 
5802.000000000   32.300000000   46.100000000 
5803.000000000   31.900000000   46.500000000 
5804.000000000   31.400000000   46.700000000 
5805.000000000   31.700000000   47.600000000 
5806.000000000   32.600000000   48.500000000 
5807.000000000   33.000000000   49.700000000 
5808.000000000   33.700000000   50.600000000 
5809.000000000   34.000000000   51.500000000 
5810.000000000   34.400000000   52.100000000 
5811.000000000   35.400000000   53.000000000 
5812.000000000   35.500000000   52.900000000 
5901.000000000   36.000000000   53.800000000 
5902.000000000   36.700000000   54.500000000 
5903.000000000   37.200000000   55.300000000 
5904.000000000   38.000000000   55.300000000 
5905.000000000   38.600000000   55.400000000 
5906.000000000   38.600000000   55.400000000 
5907.000000000   37.700000000   55.200000000 
5908.000000000   36.400000000   54.700000000 
5909.000000000   36.400000000   54.800000000 
5910.000000000   36.100000000   54.500000000 
5911.000000000   36.300000000   54.000000000 
5912.000000000   38.600000000   55.200000000 
6001.000000000   39.600000000   55.000000000 
6002.000000000   39.200000000   54.300000000 
6003.000000000   38.900000000   53.400000000 
6004.000000000   38.600000000   53.400000000 
6005.000000000   38.500000000   53.500000000 
6006.000000000   38.100000000   53.500000000 
6007.000000000   37.900000000   53.700000000 
6008.000000000   37.900000000   53.900000000 
6009.000000000   37.500000000   54.000000000 
6010.000000000   37.400000000   53.800000000 
6011.000000000   36.900000000   53.700000000 
6012.000000000   36.200000000   53.700000000 
6101.000000000   36.300000000   54.200000000 
6102.000000000   36.200000000   54.600000000 
6103.000000000   36.400000000   55.400000000 
6104.000000000   37.200000000   56.100000000 
6105.000000000   37.700000000   56.800000000 
6106.000000000   38.300000000   57.400000000 
6107.000000000   38.700000000   57.500000000 
6108.000000000   39.100000000   58.400000000 
6109.000000000   39.000000000   58.000000000 
6110.000000000   39.800000000   58.800000000 
6111.000000000   40.400000000   59.400000000 
6112.000000000   40.700000000   59.900000000 
6201.000000000   40.400000000   59.900000000 
6202.000000000   41.100000000   60.600000000 
6203.000000000   41.300000000   60.600000000 
6204.000000000   41.400000000   60.300000000 
6205.000000000   41.300000000   59.700000000 
6206.000000000   41.200000000   59.100000000 
6207.000000000   41.600000000   59.500000000 
6208.000000000   41.700000000   59.600000000 
6209.000000000   41.900000000   60.000000000 
6210.000000000   42.000000000   60.200000000 
6211.000000000   42.200000000   61.200000000 
6212.000000000   42.200000000   61.700000000 
6301.000000000   42.500000000   62.200000000 
6302.000000000   42.900000000   62.800000000 
6303.000000000   43.200000000   63.300000000 
6304.000000000   43.600000000   63.800000000 
6305.000000000   44.100000000   64.300000000 
6306.000000000   44.300000000   64.200000000 
6307.000000000   44.100000000   64.100000000 
6308.000000000   44.200000000   64.300000000 
6309.000000000   44.600000000   64.800000000 
6310.000000000   44.900000000   65.100000000 
6311.000000000   45.100000000   65.400000000 
6312.000000000   45.100000000   65.600000000 
6401.000000000   45.500000000   66.100000000 
6402.000000000   45.800000000   66.600000000 
6403.000000000   45.800000000   67.000000000 
6404.000000000   46.500000000   67.500000000 
6405.000000000   46.800000000   68.000000000 
6406.000000000   46.900000000   68.200000000 
6407.000000000   47.200000000   69.000000000 
6408.000000000   47.500000000   69.500000000 
6409.000000000   47.700000000   70.100000000 
6410.000000000   47.000000000   70.300000000 
6411.000000000   48.500000000   70.800000000 
6412.000000000   49.100000000   71.200000000 
6501.000000000   49.600000000   71.700000000 
6502.000000000   49.900000000   71.700000000 
6503.000000000   50.600000000   72.100000000 
6504.000000000   50.800000000   72.000000000 
6505.000000000   51.200000000   72.600000000 
6506.000000000   51.600000000   72.500000000 
6507.000000000   52.100000000   72.800000000 
6508.000000000   52.300000000   72.700000000 
6509.000000000   52.400000000   73.300000000 
6510.000000000   52.900000000   74.100000000 
6511.000000000   53.200000000   74.900000000 
6512.000000000   53.800000000   75.600000000 
6601.000000000   54.400000000   75.800000000 
6602.000000000   54.700000000   76.000000000 
6603.000000000   55.500000000   76.900000000 
6604.000000000   55.500000000   76.700000000 
6605.000000000   56.100000000   75.900000000 
6606.000000000   56.300000000   75.400000000 
6607.000000000   56.600000000   75.100000000 
6608.000000000   56.700000000   74.400000000 
6609.000000000   57.200000000   74.000000000 
6610.000000000   57.600000000   73.300000000 
6611.000000000   57.200000000   73.100000000 
6612.000000000   57.300000000   72.800000000 
6701.000000000   57.600000000   73.300000000 
6702.000000000   57.000000000   72.900000000 
6703.000000000   56.600000000   72.600000000 
6704.000000000   57.200000000   72.900000000 
6705.000000000   56.700000000   73.600000000 
6706.000000000   56.700000000   74.500000000 
6707.000000000   56.500000000   75.400000000 
6708.000000000   57.600000000   76.500000000 
6709.000000000   57.500000000   76.700000000 
6710.000000000   58.000000000   76.900000000 
6711.000000000   58.800000000   77.200000000 
6712.000000000   59.500000000   78.100000000 
6801.000000000   59.400000000   78.000000000 
6802.000000000   59.600000000   78.700000000 
6803.000000000   59.800000000   79.200000000 
6804.000000000   59.900000000   78.500000000 
6805.000000000   60.600000000   79.000000000 
6806.000000000   60.800000000   79.200000000 
6807.000000000   60.700000000   79.600000000 
6808.000000000   60.900000000   79.200000000 
6809.000000000   61.100000000   80.200000000 
6810.000000000   61.200000000   81.400000000 
6811.000000000   62.000000000   81.900000000 
6812.000000000   62.200000000   82.300000000 
6901.000000000   62.600000000   83.100000000 
6902.000000000   63.000000000   82.900000000 
6903.000000000   63.500000000   82.700000000 
6904.000000000   63.200000000   83.100000000 
6905.000000000   63.000000000   82.900000000 
6906.000000000   63.600000000   82.300000000 
6907.000000000   63.900000000   81.800000000 
6908.000000000   64.100000000   81.700000000 
6909.000000000   64.100000000   81.900000000 
6910.000000000   64.100000000   81.100000000 
6911.000000000   63.500000000   80.500000000 
6912.000000000   63.300000000   80.200000000 
7001.000000000   62.100000000   79.000000000 
7002.000000000   62.100000000   77.900000000 
7003.000000000   62.000000000   77.200000000 
7004.000000000   61.900000000   76.300000000 
7005.000000000   61.800000000   76.700000000 
7006.000000000   61.600000000   76.900000000 
7007.000000000   61.700000000   76.600000000 
7008.000000000   61.600000000   76.600000000 
7009.000000000   61.200000000   76.700000000 
7010.000000000   60.000000000   76.500000000 
7011.000000000   59.600000000   76.900000000 
7012.000000000   61.000000000   78.700000000 
7101.000000000   61.500000000   79.800000000 
7102.000000000   61.300000000   80.800000000 
7103.000000000   61.300000000   81.800000000 
7104.000000000   61.600000000   82.800000000 
7105.000000000   61.900000000   83.200000000 
7106.000000000   62.200000000   83.300000000 
7107.000000000   62.000000000   83.300000000 
7108.000000000   61.700000000   83.400000000 
7109.000000000   62.700000000   83.900000000 
7110.000000000   63.100000000   84.600000000 
7111.000000000   63.400000000   85.400000000 
7112.000000000   64.100000000   87.000000000 
7201.000000000   65.600000000   88.100000000 
7202.000000000   66.000000000   89.000000000 
7203.000000000   66.500000000   89.900000000 
7204.000000000   67.600000000   90.300000000 
7205.000000000   67.500000000   90.800000000 
7206.000000000   67.700000000   91.400000000 
7207.000000000   67.600000000   92.500000000 
7208.000000000   68.500000000   93.600000000 
7209.000000000   69.200000000   94.500000000 
7210.000000000   70.200000000   95.000000000 
7211.000000000   71.100000000   95.900000000 
7212.000000000   71.700000000   96.800000000 
7301.000000000   71.800000000   97.300000000 
7302.000000000   72.800000000   97.800000000 
7303.000000000   72.800000000   97.800000000 
7304.000000000   73.000000000   97.600000000 
7305.000000000   73.400000000   97.600000000 
7306.000000000   73.900000000   97.500000000 
7307.000000000   74.400000000   97.400000000 
7308.000000000   74.300000000   96.600000000 
7309.000000000   74.900000000   97.000000000 
7310.000000000   75.200000000   96.900000000 
7311.000000000   75.200000000   97.200000000 
7312.000000000   74.000000000   95.800000000 
7401.000000000   73.000000000   95.500000000 
7402.000000000   72.700000000   94.400000000 
7403.000000000   73.000000000   94.900000000 
7404.000000000   72.900000000   93.100000000 
7405.000000000   73.800000000   92.700000000 
7406.000000000   74.000000000   91.100000000 
7407.000000000   73.600000000   90.000000000 
7408.000000000   73.400000000   87.700000000 
7409.000000000   73.700000000   85.300000000 
7410.000000000   73.200000000   83.400000000 
7411.000000000   71.100000000   81.100000000 
7412.000000000   68.100000000   79.100000000 
7501.000000000   66.300000000   78.000000000 
7502.000000000   65.300000000   78.000000000 
7503.000000000   64.100000000   78.700000000 
7504.000000000   64.700000000   81.200000000 
7505.000000000   64.500000000   83.100000000 
7506.000000000   65.300000000   84.300000000 
7507.000000000   65.700000000   85.700000000 
7508.000000000   66.900000000   86.900000000 
7509.000000000   67.600000000   88.200000000 
7510.000000000   67.900000000   89.200000000 
7511.000000000   68.600000000   90.100000000 
7512.000000000   69.100000000   90.600000000 
7601.000000000   69.900000000   93.000000000 
7602.000000000   71.100000000   94.000000000 
7603.000000000   70.900000000   94.400000000 
7604.000000000   71.200000000   94.400000000 
7605.000000000   72.000000000   95.300000000 
7606.000000000   72.100000000   96.100000000 
7607.000000000   72.500000000   97.300000000 
7608.000000000   72.900000000   97.400000000 
7609.000000000   73.100000000   97.700000000 
7610.000000000   73.400000000   97.500000000 
7611.000000000   74.600000000   98.000000000 
7612.000000000   75.200000000   98.800000000 
7701.000000000   75.500000000   98.500000000 
7702.000000000   75.900000000   99.300000000 
7703.000000000   76.600000000   99.700000000 
7704.000000000   77.700000000  100.300000000 
7705.000000000   78.300000000  100.800000000 
7706.000000000   78.900000000  101.300000000 
7707.000000000   78.900000000  101.100000000 
7708.000000000   79.000000000  101.500000000 
7709.000000000   79.400000000  101.900000000 
7710.000000000   79.400000000  101.800000000 
7711.000000000   79.500000000  102.300000000 
7712.000000000   79.100000000  103.100000000 
7801.000000000   78.800000000  101.900000000 
7802.000000000   79.000000000  102.900000000 
7803.000000000   80.000000000  103.000000000 
7804.000000000   82.000000000  104.100000000 
7805.000000000   82.300000000  104.300000000 
7806.000000000   83.100000000  104.500000000 
7807.000000000   83.300000000  104.600000000 
7808.000000000   83.600000000  105.000000000 
7809.000000000   84.100000000  106.100000000 
7810.000000000   84.500000000  107.100000000 
7811.000000000   85.200000000  106.300000000 
7812.000000000   85.400000000  105.400000000 
7901.000000000   85.100000000  105.300000000 
7902.000000000   85.800000000  105.500000000 
7903.000000000   86.100000000  106.100000000 
7904.000000000   85.200000000  104.500000000 
7905.000000000   86.200000000  105.100000000 
7906.000000000   86.100000000  104.600000000 
7907.000000000   85.600000000  103.100000000 
7908.000000000   85.300000000  102.700000000 
7909.000000000   85.500000000  103.000000000 
7910.000000000   86.000000000  101.600000000 
7911.000000000   85.700000000  100.800000000 
7912.000000000   85.600000000  100.600000000 
8001.000000000   85.900000000  101.200000000 
8002.000000000   86.200000000  101.500000000 
8003.000000000   86.200000000   98.000000000 
8004.000000000   84.500000000   95.300000000 
8005.000000000   82.500000000   93.600000000 
8006.000000000   81.500000000   94.900000000 
8007.000000000   81.200000000   96.900000000 
8008.000000000   82.400000000   98.900000000 
8009.000000000   83.500000000  101.100000000 
8010.000000000   84.000000000  102.500000000 
8011.000000000   85.500000000  104.100000000 
8012.000000000   85.900000000  102.800000000 
8101.000000000   85.200000000  102.800000000 
8102.000000000   85.400000000  101.500000000 
8103.000000000   85.700000000  102.000000000 
8104.000000000   85.000000000  103.500000000 
8105.000000000   85.600000000  103.700000000 
8106.000000000   86.100000000  102.700000000 
8107.000000000   87.100000000  102.000000000 
8108.000000000   86.900000000  102.100000000 
8109.000000000   86.500000000  100.000000000 
8110.000000000   85.800000000   98.500000000 
8111.000000000   84.800000000   97.800000000 
8112.000000000   84.100000000   97.800000000 
8201.000000000   82.400000000   97.200000000 
8202.000000000   84.200000000   98.900000000 
8203.000000000   83.700000000   98.300000000 
8204.000000000   83.200000000   99.100000000 
8205.000000000   82.700000000   99.400000000 
8206.000000000   82.400000000   98.800000000 
8207.000000000   82.000000000   99.400000000 
8208.000000000   81.600000000   98.800000000 
8209.000000000   81.000000000  100.600000000 
8210.000000000   80.300000000  101.800000000 
8211.000000000   80.000000000  103.000000000 
8212.000000000   79.300000000  104.700000000 
8301.000000000   80.800000000  106.800000000 
8302.000000000   80.700000000  109.100000000 
8303.000000000   81.300000000  111.400000000 
8304.000000000   82.300000000  113.500000000 
8305.000000000   83.200000000  115.300000000 
8306.000000000   83.700000000  116.900000000 
8307.000000000   85.300000000  118.200000000 
8308.000000000   86.500000000  118.400000000 
8309.000000000   87.900000000  119.600000000 
8310.000000000   88.600000000  121.100000000 
8311.000000000   88.800000000  121.900000000 
8312.000000000   89.200000000  122.100000000 
8401.000000000   91.000000000  123.100000000 
8402.000000000   90.900000000  123.400000000 
8403.000000000   91.900000000  123.300000000 
8404.000000000   92.400000000  123.300000000 
8405.000000000   93.000000000  123.000000000 
8406.000000000   93.500000000  121.800000000 
8407.000000000   93.900000000  121.300000000 
8408.000000000   94.000000000  120.900000000 
8409.000000000   93.900000000  120.600000000 
8410.000000000   93.200000000  119.400000000 
8411.000000000   93.300000000  120.100000000 
8412.000000000   92.800000000  120.300000000 
8501.000000000   93.100000000  121.400000000 
8502.000000000   93.800000000  121.700000000 
8503.000000000   94.100000000  122.200000000 
8504.000000000   94.500000000  121.800000000 
8505.000000000   94.700000000  122.700000000 
8506.000000000   94.400000000  123.800000000 
8507.000000000   94.100000000  124.100000000 
8508.000000000   94.500000000  125.100000000 
8509.000000000   95.000000000  125.800000000 
8510.000000000   94.200000000  126.000000000 
8511.000000000   94.600000000  126.200000000 
8512.000000000   95.600000000  127.600000000 
8601.000000000   96.100000000  128.000000000 
8602.000000000   95.500000000  128.900000000 
8603.000000000   94.600000000  129.900000000 
8604.000000000   94.800000000  131.200000000 
8605.000000000   94.800000000  131.300000000 
8606.000000000   94.400000000  132.100000000 
8607.000000000   94.800000000  132.600000000 
8608.000000000   95.000000000  132.700000000 
8609.000000000   95.100000000  132.800000000 
8610.000000000   95.600000000  134.100000000 
8611.000000000   96.200000000  135.200000000 
8612.000000000   96.700000000  137.100000000 
8701.000000000   96.500000000  136.600000000 
8702.000000000   97.600000000  137.500000000 
8703.000000000   98.200000000  138.000000000 
8704.000000000   98.300000000  138.500000000 
8705.000000000   99.200000000  139.200000000 
8706.000000000  100.100000000  140.600000000 
8707.000000000  100.800000000  141.900000000 
8708.000000000  101.000000000  143.100000000 
8709.000000000  100.900000000  143.200000000 
8710.000000000  102.300000000  142.200000000 
8711.000000000  102.200000000  140.200000000 
8712.000000000  102.600000000  139.500000000 
8801.000000000  103.500000000  139.100000000 
8802.000000000  103.500000000  140.900000000 
8803.000000000  103.900000000  141.400000000 
8804.000000000  104.300000000  141.800000000 
8805.000000000  104.800000000  141.800000000 
8806.000000000  105.000000000  144.000000000 
8807.000000000  106.100000000  142.900000000 
8808.000000000  106.400000000  144.000000000 
8809.000000000  106.200000000  143.600000000 
8810.000000000  106.500000000  143.900000000 
8811.000000000  106.900000000  144.100000000 
8812.000000000  107.400000000  145.000000000 
8901.000000000  107.700000000  145.900000000 
8902.000000000  107.600000000  145.600000000 
8903.000000000  107.700000000  144.800000000 
8904.000000000  108.600000000  145.700000000 
8905.000000000  108.300000000  144.400000000 
8906.000000000  108.400000000  144.200000000 
8907.000000000  107.800000000  144.100000000 
8908.000000000  108.200000000  144.900000000 
8909.000000000  108.200000000  144.900000000 
8910.000000000  107.700000000  144.400000000 
8911.000000000  108.100000000  144.600000000 
8912.000000000  108.600000000  145.300000000 
9001.000000000  107.500000000  145.400000000 
9002.000000000  108.500000000  144.100000000 
9003.000000000  108.900000000  145.400000000 
9004.000000000  108.800000000  145.200000000 
9005.000000000  109.400000000  146.000000000 
9006.000000000  110.100000000  146.200000000 
9007.000000000  110.400000000  146.200000000 
9008.000000000  110.500000000  144.400000000 
9009.000000000  110.600000000  143.200000000 
9010.000000000  109.900000000  141.500000000 
9011.000000000  108.300000000  139.700000000 
9012.000000000  107.200000000  139.600000000 
9101.000000000  106.600000000  138.800000000 
9102.000000000  105.700000000  140.400000000 
9103.000000000  105.000000000  141.400000000 
9104.000000000  105.300000000  142.200000000 
